program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
312,51,0.467,301.95,1
313,32,0.041,145.41,0
314,9,0.029,114.74,0
315,25,0.384,68.65,0
316,40,0.289,72.27,0
317,51,0.218,287.94,1
318,33,0.25,10.12,0
319,41,0.338,44.94,0
320,35,0.23,229.44,0
321,55,0.059,71.93,0
322,9,0.424,125.62,0
323,9,0.248,357.88,1
324,41,0.477,198.79,0
325,1,0.459,407.51,1
326,50,0.091,381.19,1
327,22,0.08,28.43,0
328,26,0.08,186.88,0
329,30,0.294,189.75,0
330,8,0.448,312.38,1
331,13,0.395,480.07,1
332,13,0.205,257.73,0
333,4,0.434,483.35,1
334,36,0.426,42.34,0
335,59,0.461,313.01,1
336,4,0.489,432.62,1
337,30,0.032,71.5,0
338,4,0.49,484.52,1
339,44,0.279,282.25,1
340,49,0.083,100.75,0
341,54,0.174,297.63,1
342,54,0.497,379.41,1
343,12,0.344,492.31,1
344,48,0.039,493.4,1
345,27,0.113,115.85,0
346,29,0.296,368.72,1
347,15,0.081,235.6,0
348,19,0.491,464.76,1
349,58,0.161,391.22,1
350,57,0.418,247.64,0
351,33,0.465,428.78,1
352,55,0.348,43.05,0
353,8,0.035,266.77,0
354,28,0.027,26.27,0
355,47,0.384,470.95,1
356,19,0.027,420.83,1
357,47,0.053,348.56,1
358,27,0.301,458.52,1
359,3,0.221,206.54,0
360,40,0.288,78.51,0
361,32,0.296,120.23,0
362,15,0.277,313.47,1
363,32,0.284,264.51,0
364,12,0.426,357.46,1
365,42,0.449,283.91,1
366,44,0.123,434.97,1
367,2,0.387,231.44,0
368,30,0.121,455.14,1
369,43,0.055,262.31,0
370,27,0.033,244.47,0
371,45,0.294,248.85,0
372,51,0.413,255.86,1
373,38,0.251,146.49,0
374,5,0.212,170.31,0
375,20,0.315,122.57,0
376,15,0.31,463.25,1
377,28,0.005,332.73,1
378,55,0.359,386.46,1
379,31,0.221,201.28,0
380,58,0.414,85.95,0
381,5,0.279,299.56,0
382,57,0.226,83.76,0
383,29,0.362,266.76,0
384,38,0.417,288.58,1
385,5,0.452,174.86,0
386,35,0.11,84.11,0
387,17,0.219,252.99,0
388,43,0.172,240.95,0
389,29,0.158,23.72,0
390,59,0.045,477.55,1
391,28,0.046,291.14,1
392,58,0.338,421.12,1
393,6,0.492,208.82,0
394,42,0.397,114.75,0
395,23,0.335,458.71,1
396,5,0.499,357.67,1
397,10,0.278,148.18,0
398,30,0.008,385.48,1
399,18,0.041,29.46,0
400,57,0.096,345.78,1
401,58,0.276,212.28,0
402,14,0.06,244.98,0
403,6,0.485,134.17,0
404,28,0.03,22.78,0
405,47,0.186,161.95,0
406,6,0.026,271.49,0
407,4,0.253,128.95,0
408,34,0.123,54.79,0
409,6,0.315,383.16,1
410,6,0.017,180.37,0
411,22,0.061,281.21,0
412,43,0.051,447.25,1
413,3,0.114,352.59,1
414,12,0.301,342.48,1
415,58,0.182,396.98,1
416,4,0.085,183.18,0
417,7,0.159,234.82,0
418,41,0.186,90.48,0
419,23,0.12,406.01,1
420,33,0.213,159.2,0
421,8,0.302,106.83,0
422,28,0.266,362.76,1
423,19,0.054,384.24,1
424,16,0.486,98.65,0
425,58,0.412,176.23,0
426,20,0.072,149.05,0
427,3,0.259,13.01,0
428,48,0.435,20.43,0
429,30,0.193,55.83,0
430,57,0.027,62.67,0
431,6,0.288,225.35,0
432,49,0.35,50.91,0
433,10,0.038,65.75,0
434,23,0.386,37.95,0
435,27,0.114,137.57,0
436,54,0.024,80.34,0
437,34,0.387,334.91,1
438,36,0.153,415.86,1
439,21,0.32,319.59,1
440,40,0.48,413.45,1
441,12,0.498,132.63,0
442,52,0.405,379.46,1
443,4,0.379,233.92,0
444,23,0.224,73.82,0
445,36,0.191,150.42,0
446,59,0.42,197.39,0
447,35,0.161,481.5,1
448,54,0.458,416.47,1
449,59,0.197,163.84,0
450,19,0.483,67.07,0
451,9,0.135,56.29,0
452,13,0.044,439.53,1
453,4,0.118,224.41,0
454,58,0.161,134.46,0
455,49,0.469,345.55,1
456,18,0.134,258.07,0
457,25,0.324,343.61,1
458,28,0.0,26.6,0
459,2,0.167,192.33,0
460,39,0.288,109.57,0
461,15,0.404,435.18,1
462,31,0.451,423.26,1
463,20,0.026,481.95,1
464,30,0.18,188.38,0
465,6,0.255,92.76,0
466,8,0.298,487.05,1
467,18,0.167,302.02,1
468,41,0.148,361.04,1
469,40,0.458,451.67,1
470,8,0.453,419.29,1
471,54,0.129,328.31,1
472,35,0.424,247.2,0
473,29,0.399,116.51,0
474,56,0.082,466.11,1
475,28,0.354,486.87,1
476,15,0.144,40.44,0
477,33,0.403,11.85,0
478,8,0.268,173.64,0
479,58,0.483,331.75,1
480,9,0.451,362.38,1
481,42,0.064,124.93,0
482,44,0.18,285.06,1
483,4,0.261,27.75,0
484,43,0.178,122.26,0
485,11,0.128,50.31,0
486,23,0.119,29.43,0
487,22,0.219,32.13,0
488,46,0.203,16.52,0
489,17,0.152,209.01,0
490,44,0.424,191.33,0
491,14,0.413,370.72,1
492,11,0.246,333.58,1
493,12,0.161,108.0,0
494,32,0.09,15.22,0
495,25,0.19,354.57,1
496,30,0.465,272.78,0
497,2,0.308,415.51,1
498,41,0.357,247.55,0
499,8,0.466,374.08,1
500,39,0.211,392.92,1
